Argot field	source data format	provisional?	institution	element/field	subelement/field(s)	constraints	processing_type	processing instructions	notes	mapping_id
subject_genre_facet	MARC	y	standard	655	ax	i2=7 AND $2=rbgenr	concat_subelements	"Separate subelements with ""--"", not "" """	Need PO approval to include non-LCSH vocabularies: Genre terms: a thesaurus for use in rare book and special collections cataloguing (Chicago: Association of College and Research Libraries) -- Important for rare/special library materials -- 173536 headings in UNC cat on 2017-08-16	37
subject_genre_facet	MARC	y	standard	655	v	i2=7 AND $2=rbgenr	subelement_to_value	.	Need PO approval to include non-LCSH vocabularies: Genre terms: a thesaurus for use in rare book and special collections cataloguing (Chicago: Association of College and Research Libraries) -- Important for rare/special library materials -- 173536 headings in UNC cat on 2017-08-16	38
subject_genre_facet	MARC	y	standard	655	ax	i2=7 AND $2=rbprov	concat_subelements	"Delete "" (Provenance)"" from $a value;;;Separate subelements with ""--"", not "" """	"Need PO approval to include non-LCSH vocabularies: Provenance evidence: a thesaurus for use in rare book and special collections cataloging (Chicago: Association of College and Research Libraries, ALA) -- Important for rare/special library materials -- >10000 headings in UNC cat on 2017-08-16"	39
subject_genre_facet	MARC	y	standard	655	v	i2=7 AND $2=rbprov	subelement_to_value	.	"Need PO approval to include non-LCSH vocabularies: Provenance evidence: a thesaurus for use in rare book and special collections cataloging (Chicago: Association of College and Research Libraries, ALA) -- Important for rare/special library materials -- >10000 headings in UNC cat on 2017-08-16"	40
subject_genre_facet	MARC	y	standard	656	kv	i2=7 AND $2=lcsh	subelement_to_value	.	"UNC doesn't have any occurrences of these subfields (regardless of term source). Check w/other institutions re: current needs here. Can/should be mapped eventually, depending on how use of field evolves"	41
subject_genre_facet	MARC	y	standard	657	v	i2=7 AND $2=lcsh	subelement_to_value	.	"UNC doesn't have any occurrences of these subfields (regardless of term source). Check w/other institutions re: current needs here. Can/should be mapped eventually, depending on how use of field evolves"	42
subject_geographic_facet	MARC	n	standard	600	z	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	51
subject_geographic_facet	MARC	n	standard	610	z	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	52
subject_geographic_facet	MARC	n	standard	611	z	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	53
subject_geographic_facet	MARC	n	standard	630	z	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	54
subject_geographic_facet	MARC	y	standard	648	z	i2=0 OR (i2=7 AND $2=~/lcsh|fast/)	subelement_to_value	.	UNC doesn't have any occurrences of this subfield (regardless of term source)	55
subject_geographic_facet	MARC	n	standard	650	z	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	56
subject_geographic_facet	MARC	n	standard	651	z	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	57
subject_geographic_facet	MARC	n	standard	655	z	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	58
subject_topic_lcsh_facet	MARC	n	standard	600	abcdfghjklmnopqrstu	i2=0 OR (i2=7 AND $2=lcsh)	concat_subelements	.	"In Endeca data model, people (and their works) as topics are mapped into subject:topic facet"	1
subject_topic_lcsh_facet	MARC	n	standard	600	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	3
subject_topic_lcsh_facet	MARC	n	standard	610	abcdfghklmnoprstu	i2=0 OR (i2=7 AND $2=lcsh)	concat_subelements	.	"In Endeca data model, corporate bodies (and their works) as topics are mapped into subject:topic facet"	5
subject_topic_lcsh_facet	MARC	n	standard	610	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	7
subject_topic_lcsh_facet	MARC	n	standard	611	acdefghklnpqstu	i2=0 OR (i2=7 AND $2=lcsh)	concat_subelements	.	"In Endeca data model, meeting names (and their works) as topics are mapped into subject:topic facet"	9
subject_topic_lcsh_facet	MARC	n	standard	611	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	11
subject_topic_lcsh_facet	MARC	n	standard	630	adfghklmnoprst	i2=0 OR (i2=7 AND $2=lcsh)	concat_subelements	.	"In Endeca data model, works as topics are mapped into subject:topic facet"	13
subject_topic_lcsh_facet	MARC	n	standard	630	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	15
subject_topic_lcsh_facet	MARC	y	standard	647	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	UNC doesn't have this field in our catalog at all yet. It was added to MARC in 2016-11 and probably hasn't been implemented by OCLC yet. We can hold off on including it.	19
subject_topic_lcsh_facet	MARC	y	standard	647	acdg	i2=0 OR (i2=7 AND $2=lcsh)	concat_subelements	.	UNC doesn't have this field in our catalog at all yet. It was added to MARC in 2016-11 and probably hasn't been implemented by OCLC yet. We can hold off on including it.	17
subject_topic_lcsh_facet	MARC	y	standard	648	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	UNC doesn't have any occurrences of this subfield (regardless of term source)	21
subject_topic_lcsh_facet	MARC	n	standard	650	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	25
subject_topic_lcsh_facet	MARC	n	standard	650	abcdg	i2=0 OR (i2=7 AND $2=lcsh)	concat_subelements	.	.	23
subject_topic_lcsh_facet	MARC	n	standard	651	x	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	27
subject_topic_lcsh_facet	MARC	y	standard	656	x	i2=7 AND $2=lcsh	subelement_to_value	.	"UNC doesn't have any occurrences of these subfields (regardless of term source). Check w/other institutions re: current needs here. Can/should be mapped eventually, depending on how use of field evolves"	30
subject_topic_lcsh_facet	MARC	y	standard	656	a	i2=7 AND $2=lcsh	subelement_to_value	.	"UNC only has 4 LCSH occurrences. Check w/other institutions re: current needs here. Can/should be mapped eventually, depending on how use of field evolves"	29
subject_topic_lcsh_facet	MARC	y	standard	657	x	i2=7 AND $2=lcsh	subelement_to_value	.	"UNC doesn't have any occurrences of this field (regardless of term source). Check w/other institutions re: needs here. May need to handle at some point in the future, depending on how field use evolves in practice. "	32
subject_topic_lcsh_facet	MARC	y	standard	657	a	i2=7 AND $2=lcsh	subelement_to_value	.	"UNC doesn't have any occurrences of this field (regardless of term source). Check w/other institutions re: needs here. May need to handle at some point in the future, depending on how field use evolves in practice. "	31
date_cataloged	MARCish	n	UNC	999	a	i1=0 AND i2=0	subelement_to_value	Convert to whatever standard date format you decide is best for this field. Note: It is expected that this field will be empty in provisional or on-the-fly records.	.	59
